Time	NoSettings	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Output Electricity Generation by Type[hard coal es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[natural gas nonpeaker es]	NoSettings	7.65183	7.53229	6.97615	6.46729	5.95811	3.66963	3.38587	3.05976	2.71747	2.32424	1.91454	1.40231	0.846223	0.127653	0.100909	0.0543571	0.0530948	0.0493162	0.0485474	0.0545745	0.054171	0.0198348	0.041424	0.04561	0.0147745	0.047267	0.0158788	0.00538909	0.0046715	0	0.078354
Output Electricity Generation by Type[nuclear es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[hydro es]	NoSettings	0.00568967	0.00722548	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.00751781	0.0075171	0.00751781
Output Electricity Generation by Type[onshore wind es]	NoSettings	0.284238	0.615541	0.681416	0.681416	0.681416	0.681416	0.681416	0.68422	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.687023	0.689826	0.695432	0.701039	0.706645	0.713653
Output Electricity Generation by Type[solar PV es]	NoSettings	0.405097	0.646328	1.08139	1.55792	2.04265	2.02337	2.35741	2.6991	3.08687	3.50738	3.97401	4.48882	5.07706	5.82795	5.92505	6.10074	6.20991	6.32178	6.43072	6.56229	6.67109	6.81397	6.87167	6.97616	7.11579	7.19212	7.35889	7.47275	7.60617	7.71464	7.76735
Output Electricity Generation by Type[solar thermal es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[biomass es]	NoSettings	0.234536	0.247138	0.355568	0.37922	0.394988	0.394988	0.41864	0.434408	0.450176	0.45806	0.465944	0.473828	0.481712	0.489596	0.49748	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505364	0.505317	0.505364
Output Electricity Generation by Type[geothermal es]	NoSettings	0	0	0	0.0671016	0.134203	0.134203	0.134203	0.134203	0.134203	0.134203	0.134203	0.201305	0.268406	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335508	0.335476	0.335508
Output Electricity Generation by Type[petroleum es]	NoSettings	0	0	1.48514E-10	6.75866E-11	5.83043E-11	4.63198E-11	5.3302E-11	3.80634E-11	2.59743E-11	2.43633E-11	2.3449E-11	2.02348E-11	1.53563E-11	6.82046E-12	6.35287E-12	4.97979E-12	4.74731E-12	4.42561E-12	4.12915E-12	4.17146E-12	3.79559E-12	2.66542E-12	3.25668E-12	3.20077E-12	2.27842E-12	3.24191E-12	2.23428E-12	1.63842E-12	1.59408E-12	0	3.20345E-12
Output Electricity Generation by Type[natural gas peaker es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[lignite es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[offshore wind es]	NoSettings	0.114028	0.115554	0.120229	0.120229	0.120229	2.48643	2.50023	2.52449	2.54818	2.57145	2.59439	2.60455	2.61446	2.6242	2.6337	2.64304	2.65218	2.66115	2.67002	2.67878	2.68743	2.69594	2.70439	2.71276	2.72102	2.72925	2.73741	2.74549	2.75354	2.76127	2.76948
Output Electricity Generation by Type[crude oil es]	NoSettings	0.00964566	0.00995813	0.0103872	0.010578	0.0107689	0.0109597	0.0111506	0.0113415	0.0115323	0.0117232	0.011914	0.0121049	0.0122957	0.0124866	0.0126774	0.0128683	0.0130592	0.01325	0.0134409	0.0136317	0.0138226	0.0140134	0.0142043	0.0143952	0.014586	0.0147769	0.0149677	0.0151586	0.0153495	0.0155389	0.0157312
Output Electricity Generation by Type[heavy or residual fuel oil es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[municipal solid waste es]	NoSettings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
